id,lat,lon,year,species
6500883357,56.18942,15.62298,2026,Diaporthe arctii
6500897324,56.67113,16.59902,2026,Scleroderma bovista
6500901311,56.58235,16.43121,2026,Marasmius rotula
6500904415,56.92721,14.74797,2026,Megacollybia platyphylla
6500917334,56.58275,16.43017,2026,Cladonia digitata
6500917385,56.58275,16.43017,2026,Russula adusta
6500918376,56.14838,13.07252,2026,Fomitiporia robusta
6500923442,56.96899,14.26296,2026,Xanthoporia radiata
6500924399,56.79343,16.56912,2026,Pachyphiale fagicola
6500926334,56.58275,16.43017,2026,Amanita citrina
6500937362,56.70716,12.74147,2026,Marasmius oreades
6500944429,56.17398,15.44188,2026,Lecanographa amylacea
6500951365,56.13985,13.54307,2026,Pertusaria hymenea
6500953361,56.70709,12.68958,2026,Cercospora maianthemi
6500956431,56.87321,16.65877,2026,Caloboletus radicans
6500958374,56.1854,15.62266,2026,Phaeosphaeria herpotrichoides
6500960409,56.14018,13.54374,2026,Megalaria laureri
6500964417,56.13985,13.54307,2026,Pyrenula nitida
6500965440,56.14541,13.12086,2026,Pachnolepia pruinata
6500968342,56.43568,12.57393,2026,Fistulina hepatica
6500970364,56.16695,15.64539,2026,Inonotus cuticularis
6500973407,56.14595,13.1192,2026,Lecanographa amylacea
6500980387,56.4403,12.56038,2026,Schismatomma graphidioides
6500981348,56.13626,13.54097,2026,Alyxoria ochrocheila
6500983415,56.14568,13.12019,2026,Fistulina hepatica
6500987368,56.79544,16.57576,2026,Hygrophorus penarioides
6500989360,56.43919,12.57144,2026,Multiclavula mucida
6500996363,56.30205,15.47091,2026,Parastagonospora nodorum
6500998373,56.17398,15.44188,2026,Chaenotheca chlorella
6500999308,56.18854,15.60397,2026,Diaporthe arctii
6501001421,56.58275,16.43017,2026,Chlorociboria aeruginascens
6501010382,56.86355,14.96336,2026,Russula gracillima
6501023304,56.965,14.26278,2026,Leccinum schistophilum
6501031361,56.6753,14.4235,2026,Lecanactis abietina
6501032307,56.79302,16.57087,2026,Russula pseudointegra
6501035321,56.53165,16.52437,2026,Cladonia foliacea
6501036349,56.53165,16.52437,2026,Thamnolia vermicularis
6501039382,56.18942,15.62298,2026,Leptospora rubella
6501041378,56.96899,14.26296,2026,Lactarius rufus
