set_id,is_case,year,date,row,col,lat,lon,unc_m,effort,effort_m,cool12_d,cool12_d_z,cool15_d,cool15_d_z,dd5,dd5_z,dd5_pct,dry60,dry60_z,p30,p30_z,p30_pct,p60,p60_z,p60_pct,p7,p7_z,p7_pct,p90,p90_z,p90_pct,pnext30,pnext30_z,pnext30_pct,t30,t30_z,t30_anom,t60,t60_z,t60_anom,t7,t7_z,t7_anom,t90,t90_z,t90_anom
0,0,1995,1995-08-27,70,23,63.7969,23.0077,1000.0,790,373,0.0,-0.6055,12.0,0.0127,941.0,-0.2824,97.1,17.0,0.5366,19.697,-1.2005,30.8,62.068,-1.152,50.1,11.278,-0.1504,87.7,143.356,-0.4988,83.0,25.7,-0.972,48.1,15.96,0.2286,0.3,14.875,-0.8588,-0.989,14.214,-0.0459,-0.089,14.863,0.1623,0.148
0,0,1996,1996-08-27,70,23,63.7969,23.0077,1000.0,424,161,0.0,-0.6055,7.0,-0.6245,853.6,-1.1667,88.1,22.0,1.2618,36.634,-0.7409,57.3,106.999,-0.3141,86.4,0.0,-1.2214,0.0,148.587,-0.4098,86.1,25.624,-0.9747,48.0,16.21,0.4192,0.55,15.15,-0.62,-0.714,16.6,1.1894,2.297,14.094,-0.6826,-0.621
0,0,1997,1997-08-27,70,23,63.7969,23.0077,1000.0,643,267,0.0,-0.6055,5.0,-0.8795,984.3,0.1558,101.6,16.0,0.3916,36.449,-0.7459,57.0,52.877,-1.3234,42.7,10.826,-0.1933,84.2,91.392,-1.3831,52.9,75.443,0.772,141.2,17.11,1.1053,1.45,17.395,1.3294,1.531,16.871,1.3299,2.569,15.49,0.8508,0.774
0,0,1998,1998-08-27,70,23,63.7969,23.0077,1000.0,1895,1618,0.0,-0.6055,21.0,1.1599,844.0,-1.2638,87.1,6.0,-1.0587,83.522,0.5314,130.6,171.266,0.8843,138.3,28.056,1.443,218.1,268.431,1.6298,155.5,30.812,-0.7928,57.7,14.033,-1.2402,-1.627,14.68,-1.0282,-1.184,13.1,-0.6228,-1.203,13.51,-1.3247,-1.206
0,0,1999,1999-08-27,70,23,63.7969,23.0077,1000.0,2199,1263,6.0,2.189,25.0,1.6697,947.2,-0.2196,97.8,15.0,0.2465,25.463,-1.044,39.8,77.361,-0.8668,62.5,1.531,-1.076,11.9,117.207,-0.9438,67.9,2.473,-1.7864,4.6,13.303,-1.7967,-2.357,15.12,-0.6461,-0.744,11.614,-1.392,-2.689,14.663,-0.0575,-0.052
0,0,2000,2000-08-27,70,23,63.7969,23.0077,1000.0,2825,1949,0.0,-0.6055,30.0,2.307,890.5,-0.7933,91.9,13.0,-0.0435,71.07,0.1935,111.2,122.195,-0.0307,98.7,26.94,1.337,209.5,205.297,0.5553,118.9,34.305,-0.6703,64.2,13.823,-1.4003,-1.837,14.682,-1.0267,-1.182,12.929,-0.7115,-1.374,13.68,-1.1379,-1.036
0,0,2001,2001-08-27,70,23,63.7969,23.0077,1000.0,1924,412,0.0,-0.6055,22.0,1.2873,892.0,-0.7782,92.1,7.0,-0.9137,108.622,1.2124,169.9,164.557,0.7592,132.9,18.083,0.4959,140.6,218.28,0.7763,126.4,93.378,1.4008,174.8,14.63,-0.7853,-1.03,15.912,0.0413,0.048,14.329,0.0133,0.026,14.399,-0.3481,-0.317
0,0,2002,2002-08-27,70,23,63.7969,23.0077,1000.0,435,193,0.0,-0.6055,2.0,-1.2618,1182.3,2.1592,122.0,31.0,2.567,0.245,-1.7283,0.4,84.863,-0.7269,68.5,0.0,-1.2214,0.0,115.362,-0.9752,66.8,64.286,0.3808,120.3,17.82,1.6466,2.16,17.662,1.5609,1.798,19.143,2.506,4.84,16.713,2.195,1.998
0,0,2003,2003-08-27,70,23,63.7969,23.0077,1000.0,3378,1416,1.0,-0.1397,15.0,0.3951,987.8,0.1912,101.9,12.0,-0.1885,71.072,0.1935,111.2,110.754,-0.2441,89.4,16.201,0.3171,126.0,132.245,-0.6879,76.6,31.884,-0.7552,59.7,16.507,0.6454,0.847,16.948,0.9415,1.084,13.957,-0.179,-0.346,15.071,0.3905,0.355
0,0,2004,2004-08-27,70,23,63.7969,23.0077,1000.0,2683,1164,2.0,0.326,15.0,0.3951,896.5,-0.7326,92.5,5.0,-1.2037,69.109,0.1403,108.1,168.464,0.8321,136.0,14.024,0.1104,109.0,197.497,0.4226,114.4,78.749,0.8879,147.4,15.183,-0.3635,-0.477,15.305,-0.4854,-0.559,13.086,-0.6302,-1.217,13.892,-0.9048,-0.823
0,0,2005,2005-08-27,70,23,63.7969,23.0077,1000.0,3247,1225,0.0,-0.6055,7.0,-0.6245,989.3,0.2063,102.1,15.0,0.2465,54.121,-0.2664,84.6,128.778,0.092,104.0,9.143,-0.3531,71.1,181.409,0.1488,105.1,51.003,-0.0849,95.5,15.94,0.2134,0.28,16.633,0.668,0.769,16.714,1.2485,2.411,15.232,0.5676,0.517
0,0,2006,2006-08-27,70,23,63.7969,23.0077,1000.0,1055,177,0.0,-0.6055,0.0,-1.5167,1089.0,1.2151,112.4,33.0,2.8571,9.036,-1.4898,14.1,29.463,-1.76,23.8,0.207,-1.2018,1.6,49.674,-2.0931,28.8,54.203,0.0273,101.5,17.44,1.3569,1.78,17.05,1.0298,1.186,16.4,1.0858,2.097,15.699,1.0803,0.983
0,0,2007,2007-08-27,70,23,63.7969,23.0077,1000.0,11044,5181,0.0,-0.6055,3.0,-1.1344,962.2,-0.0679,99.3,8.0,-0.7687,78.67,0.3997,123.0,153.545,0.5539,124.0,5.063,-0.7406,39.4,202.607,0.5095,117.3,32.733,-0.7254,61.3,16.793,0.8639,1.133,15.832,-0.0281,-0.032,15.386,0.5607,1.083,14.588,-0.1405,-0.128
0,0,2008,2008-08-27,70,23,63.7969,23.0077,1000.0,10926,3981,1.0,-0.1397,27.0,1.9246,848.8,-1.2153,87.6,8.0,-0.7687,50.457,-0.3658,78.9,165.423,0.7754,133.6,4.833,-0.7625,37.6,221.956,0.8388,128.5,12.198,-1.4454,22.8,13.9,-1.3418,-1.76,14.092,-1.539,-1.772,13.686,-0.3195,-0.617,13.37,-1.4786,-1.346
0,0,2009,2009-08-27,70,23,63.7969,23.0077,1000.0,15094,4779,0.0,-0.6055,10.0,-0.2422,958.8,-0.1023,99.0,8.0,-0.7687,53.109,-0.2939,83.1,124.107,0.0049,100.2,0.635,-1.1611,4.9,144.159,-0.4851,83.5,35.357,-0.6334,66.2,15.983,0.2464,0.323,15.64,-0.1946,-0.224,14.829,0.2722,0.526,14.432,-0.3114,-0.283
0,0,2010,2010-08-27,70,23,63.7969,23.0077,1000.0,14035,6464,5.0,1.7233,10.0,-0.2422,1056.4,0.8853,109.0,10.0,-0.4786,72.253,0.2256,113.0,108.767,-0.2811,87.8,26.314,1.2775,204.6,147.63,-0.4261,85.5,72.687,0.6754,136.1,15.977,0.2413,0.317,17.263,1.215,1.399,11.557,-1.4216,-2.746,15.189,0.52,0.473
0,0,2011,2011-08-27,70,23,63.7969,23.0077,1000.0,3657,1899,0.0,-0.6055,11.0,-0.1147,1088.2,1.207,112.3,10.0,-0.4786,93.086,0.7909,145.6,175.305,0.9597,141.6,23.093,0.9716,179.5,228.502,0.9502,132.3,98.061,1.565,183.6,15.237,-0.3228,-0.423,16.685,0.7129,0.821,15.3,0.5163,0.997,15.86,1.2573,1.144
0,0,2012,2012-08-27,70,23,63.7969,23.0077,1000.0,8451,2443,0.0,-0.6055,15.0,0.3951,902.5,-0.6719,93.1,12.0,-0.1885,97.728,0.9168,152.8,161.129,0.6953,130.1,8.853,-0.3807,68.8,196.171,0.4,113.6,54.099,0.0237,101.3,15.063,-0.4549,-0.597,15.332,-0.4623,-0.532,12.429,-0.9704,-1.874,14.029,-0.7546,-0.687
0,0,2013,2013-08-27,70,23,63.7969,23.0077,1000.0,7420,3311,0.0,-0.6055,7.0,-0.6245,1128.9,1.6189,116.5,10.0,-0.4786,86.441,0.6106,135.2,145.596,0.4057,117.6,0.0,-1.2214,0.0,217.691,0.7662,126.1,41.128,-0.4311,77.0,16.37,0.5412,0.71,15.892,0.024,0.028,14.571,0.1391,0.269,15.654,1.0315,0.939
0,0,2014,2014-08-27,70,23,63.7969,23.0077,1000.0,4741,1357,0.0,-0.6055,10.0,-0.2422,1097.8,1.3042,113.3,10.0,-0.4786,89.044,0.6812,139.3,137.145,0.2481,110.7,25.724,1.2215,200.0,169.333,-0.0567,98.1,30.366,-0.8084,56.8,17.883,1.6949,2.223,18.135,1.9719,2.271,13.614,-0.3565,-0.689,15.866,1.2634,1.15
0,0,2015,2015-08-27,70,23,63.7969,23.0077,1000.0,3035,440,0.0,-0.6055,1.0,-1.3893,885.7,-0.8419,91.4,14.0,0.1015,14.713,-1.3357,23.0,67.356,-1.0534,54.4,2.989,-0.9376,23.2,146.217,-0.4501,84.7,97.548,1.547,182.6,16.12,0.3506,0.46,15.295,-0.4941,-0.569,16.857,1.3225,2.554,13.856,-0.9451,-0.86
0,0,2016,2016-08-27,70,23,63.7969,23.0077,1000.0,3785,978,0.0,-0.6055,13.0,0.1402,1040.3,0.7224,107.4,8.0,-0.7687,131.655,1.8374,205.9,231.384,2.0054,186.8,33.056,1.9178,257.0,332.564,2.7212,192.6,12.03,-1.4513,22.5,15.483,-0.1348,-0.177,16.077,0.1846,0.213,14.686,0.1982,0.383,15.063,0.382,0.348
0,0,2017,2017-08-27,70,23,63.7969,23.0077,1000.0,4963,1121,3.0,0.7918,9.0,-0.3696,822.6,-1.4804,84.9,7.0,-0.9137,33.395,-0.8288,52.2,82.627,-0.7686,66.7,8.629,-0.402,67.1,121.045,-0.8785,70.1,82.394,1.0157,154.2,15.053,-0.4626,-0.607,14.732,-0.9833,-1.132,12.071,-1.1553,-2.231,13.599,-1.2271,-1.117
0,0,2018,2018-08-27,70,23,63.7969,23.0077,1000.0,5452,1752,0.0,-0.6055,6.0,-0.752,1186.9,2.2057,122.5,16.0,0.3916,92.393,0.7721,144.5,116.09,-0.1446,93.7,25.946,1.2426,201.7,164.581,-0.1376,95.3,41.093,-0.4323,76.9,18.013,1.794,2.353,18.198,2.0269,2.334,14.086,-0.1124,-0.217,16.256,1.692,1.54
0,0,2019,2019-08-27,70,23,63.7969,23.0077,1000.0,7822,3704,5.0,1.7233,13.0,0.1402,947.2,-0.2196,97.8,25.0,1.6968,41.88,-0.5986,65.5,72.237,-0.9623,58.3,11.877,-0.0935,92.3,128.093,-0.7585,74.2,49.365,-0.1423,92.4,14.133,-1.1639,-1.527,14.64,-1.0629,-1.224,14.871,0.2944,0.569,14.397,-0.3505,-0.319
0,0,2020,2020-08-27,70,23,63.7969,23.0077,1000.0,10575,4427,0.0,-0.6055,3.0,-1.1344,998.3,0.2974,103.0,9.0,-0.6236,93.419,0.7999,146.1,193.162,1.2927,156.0,35.191,2.1205,273.6,205.026,0.5507,118.7,102.125,1.7075,191.2,16.147,0.3709,0.487,15.607,-0.2235,-0.257,15.757,0.753,1.454,15.56,0.9277,0.844
0,0,2021,2021-08-27,70,23,63.7969,23.0077,1000.0,17144,7636,5.0,1.7233,11.0,-0.1147,1085.5,1.1797,112.0,8.0,-0.7687,110.545,1.2646,172.9,122.089,-0.0327,98.6,37.983,2.3856,295.3,162.894,-0.1663,94.3,43.882,-0.3345,82.1,15.13,-0.4041,-0.53,16.953,0.9459,1.089,11.5,-1.4512,-2.803,16.28,1.7188,1.564
0,0,2022,2022-08-27,70,23,63.7969,23.0077,1000.0,9853,4398,0.0,-0.6055,1.0,-1.3893,1109.0,1.4175,114.5,6.0,-1.0587,110.867,1.2733,173.4,179.679,1.0413,145.1,15.995,0.2976,124.4,207.478,0.5924,120.2,32.667,-0.7278,61.1,16.9,0.9452,1.24,17.447,1.3742,1.583,17.014,1.4039,2.711,16.307,1.7481,1.591
0,0,2023,2023-08-27,70,23,63.7969,23.0077,1000.0,14838,4995,0.0,-0.6055,1.0,-1.3893,1057.6,0.8974,109.2,10.0,-0.4786,103.334,1.069,161.6,181.166,1.069,146.3,16.259,0.3226,126.4,206.486,0.5756,119.6,102.214,1.7106,191.3,16.667,0.7673,1.007,16.21,0.3004,0.346,15.157,0.4423,0.854,15.287,0.6274,0.571
0,0,2024,2024-08-27,70,23,63.7969,23.0077,1000.0,10649,4759,0.0,-0.6055,0.0,-1.5167,1198.2,2.3201,123.7,7.0,-0.9137,63.92,-0.0005,100.0,147.473,0.4407,119.1,16.51,0.3465,128.4,204.207,0.5368,118.3,70.066,0.5835,131.2,16.89,0.9376,1.23,17.448,1.3757,1.584,16.486,1.1302,2.183,16.672,2.1498,1.957
0,0,2025,2025-08-27,70,23,63.7969,23.0077,1000.0,13690,5528,5.0,1.7233,10.0,-0.2422,1009.0,0.4057,104.1,18.0,0.6816,96.6,0.8862,151.1,173.6,0.9279,140.2,23.7,1.0293,184.3,223.011,0.8568,129.2,60.3,0.2411,112.9,16.277,0.47,0.617,16.832,0.8402,0.968,11.257,-1.5769,-3.046,15.243,0.5798,0.528
1,1,1981,1981-08-27,63,34,64.44,25.034,1000.0,188,45,11.0,1.2574,23.0,0.6284,871.8,-0.743,91.2,5.0,-1.1129,103.243,0.9782,149.2,204.678,1.2559,143.7,34.678,1.8527,245.5,306.645,1.8224,155.5,46.646,-0.2352,86.5,12.77,-1.3232,-1.791,14.048,-0.9526,-1.192,9.771,-1.5428,-3.21,13.041,-1.3701,-1.382
1,0,1982,1982-08-27,63,34,64.44,25.034,1000.0,57,14,6.0,0.3096,26.0,1.0442,737.0,-1.9331,77.1,15.0,0.7419,70.205,0.0286,101.4,91.062,-1.0353,63.9,39.497,2.2872,279.6,122.32,-1.2468,62.0,56.899,0.0948,105.5,13.547,-0.7495,-1.015,14.463,-0.6211,-0.777,11.286,-0.8151,-1.696,12.437,-1.9693,-1.987
1,0,1983,1983-08-27,63,34,64.44,25.034,1000.0,87,23,13.0,1.6365,21.0,0.3511,921.3,-0.306,96.4,10.0,-0.1855,45.206,-0.6899,65.3,85.304,-1.1514,59.9,0.83,-1.1984,5.9,152.828,-0.7388,77.5,63.258,0.2996,117.2,12.67,-1.3971,-1.891,14.253,-0.7889,-0.987,10.871,-1.0142,-2.11,13.476,-0.9394,-0.948
1,0,1984,1984-08-27,63,34,64.44,25.034,1000.0,135,72,15.0,2.0156,19.0,0.0739,959.9,0.0348,100.4,9.0,-0.371,23.17,-1.3233,33.5,125.132,-0.3482,87.9,4.006,-0.9121,28.4,194.724,-0.0412,98.7,46.904,-0.227,86.9,13.273,-0.9514,-1.288,13.805,-1.147,-1.436,10.071,-1.3986,-2.91,13.562,-0.8535,-0.861
1,0,1985,1985-08-27,63,34,64.44,25.034,1000.0,76,37,0.0,-0.8277,23.0,0.6284,843.7,-0.9911,88.3,15.0,0.7419,107.032,1.0871,154.6,135.294,-0.1433,95.0,39.145,2.2554,277.1,158.159,-0.65,80.2,75.198,0.684,139.4,14.35,-0.156,-0.211,14.585,-0.5239,-0.656,12.9,-0.0394,-0.082,14.037,-0.3832,-0.387
1,0,1986,1986-08-27,63,34,64.44,25.034,1000.0,196,74,18.0,2.5842,22.0,0.4898,937.9,-0.1594,98.1,11.0,0.0,109.031,1.1446,157.5,152.863,0.211,107.3,16.345,0.2001,115.7,173.169,-0.4001,87.8,74.792,0.6709,138.6,12.31,-1.663,-2.251,13.735,-1.2029,-1.506,8.3,-2.2498,-4.682,14.154,-0.2664,-0.269
1,0,1987,1987-08-27,63,34,64.44,25.034,1000.0,339,210,19.0,2.7738,30.0,1.5986,691.5,-2.3348,72.3,12.0,0.1855,87.65,0.53,126.6,148.109,0.1151,104.0,6.231,-0.7115,44.1,217.227,0.3335,110.2,95.355,1.333,176.7,10.83,-2.7564,-3.731,12.15,-2.4692,-3.091,8.986,-1.9203,-3.996,12.114,-2.2887,-2.309
1,0,1988,1988-08-27,63,34,64.44,25.034,1000.0,571,386,7.0,0.4992,28.0,1.3214,1010.1,0.478,105.7,6.0,-0.9274,138.264,1.9848,199.8,192.068,1.0016,134.9,12.368,-0.1583,87.6,236.663,0.6572,120.0,38.112,-0.51,70.6,12.96,-1.1829,-1.601,15.945,0.5626,0.704,12.743,-0.1149,-0.239,15.208,0.7777,0.785
