group,weight,id,lat,lon,x,y,row,col,year,cycle,unc_m,ika,manty,kuusi,koivu,tilavuus,ppa,latvuspeitto,keskipituus,keskilapimitta,pine_share,spruce_share,decid_share,stems_ha,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_missing,main_1,main_2,main_3,main_4,ika_m3,manty_m3,kuusi_m3,latvuspeitto_m3,ppa_m3,ika_m9,manty_m9,kuusi_m9,latvuspeitto_m9,ppa_m9,dry_site_frac9,pine_max9,spruce_min9,elev,slope,northness,eastness,tpi7,tpi31,relief7,soil_coarse,soil_till,soil_fine,soil_rock,soil_peat,soil_other,soil_none,coarse_frac9,coarse_frac31,glac_glaciofluvial,glac_littoral,glac_moraine,glac_other,glac_none,glacfl_frac31,thermal_sum,precip
presence,1.0,5844797852,68.308578,28.005396,541468.4772085771,7577606.725941122,12543,30239,2025,2023,250.0,82,20,0,2,22,4,12,89,14,0.86957,0,0.086957,259.84,0,0,0,1,0,0,0,0,0,1,0,0,0,75.111,25.222,0,12.111,3.5556,78.951,27.469,0,14.395,4.7778,0.38272,94,0,321.2,7.8051,0.72954,-0.68394,0.55103,2.6624,18.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,651.84,544.07
presence,1.0,6519635386,69.195548,27.880851,534914.7667970827,7676417.766353406,6367,29830,2025,2023,25.0,200,73,0,1,74,11,27,110,17,0.97333,0,0.013333,484.62,0,0,0,1,0,0,0,0,0,1,0,0,0,174.11,71.556,0,29.222,12,139.62,66.828,0,27.875,10.875,0.61728,144,0,135.2,2.1772,0.16441,-0.98639,0.80815,-0.6998,3.2,1,0,0,0,0,0,0,0.85185,0.89802,1,0,0,0,0,0.8127,673.71,459.94
presence,1.0,4925234382,65.114456,25.640388,436163.5698578146,7221897.702073845,34775,23658,2024,2023,1.0,31,18,0,0,18,6,32,51,8,0.94737,0,0,1193.7,0,0,0,0,1,0,0,0,0,1,0,0,0,39.556,57.667,0,37.667,9,41.773,47.32,1.3467,32.2,8.0267,0.77778,147,0,41.8,1.2531,-1,8.7423e-08,-0.39184,0.5923,1.9,1,0,0,0,0,0,0,1,0.64412,1,0,0,0,0,0.39334,1113.4,584.87
presence,1.0,4927217726,65.153615,25.241415,417555.91476753616,7226723.086826302,34473,22495,2024,2023,1.0,82,79,0,2,81,14,51,127,15,0.96341,0,0.02439,792.24,0,0,0,0,1,0,0,0,0,1,0,0,0,76.778,69.778,0,45.333,13.667,61.037,54.531,0.23457,38.395,10.852,0.83951,133,0,21.3,2.5115,0.071247,-0.99746,0.26531,1.434,6.5,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1115.9,510.47
presence,1.0,4929449643,65.15874,25.446694,427192.00950251555,7227041.711297384,34453,23097,2024,2023,1.0,47,41,10,1,53,13,47,80,9,0.75926,0.18519,0.018519,2043.5,0,0,0,0,1,0,0,0,0,1,0,0,0,66,73.778,4.6667,54,15.556,72.247,101.8,9.2963,59.333,19.568,0.76543,168,0,24.6,2.8287,-0.82219,0.56921,0.83673,1.4606,2.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1118.9,564.15
presence,1.0,4979541032,66.471109,25.85725,449095.34470357,7372888.2571467515,25338,24466,2024,2023,100.0,109,139,0,2,141,18,53,140,20,0.97887,0,0.014085,572.96,0,0,0,1,0,0,0,0,0,1,0,0,0,107.78,118.89,0.55556,47.556,16.444,97.272,115.37,7.9506,48.284,17.704,0.69136,159,0,107.2,5.4293,-0.98639,0.1644,3.0837,11.763,12.6,0,0,0,1,0,0,0,0,0.26951,0,0,0,0,1,0.13007,978.94,600.25
presence,1.0,4929450281,64.600457,26.47871,475051.36063547473,7164030.03792539,38392,26088,2024,2023,1.0,87,90,0,0,90,18,47,131,17,0.98901,0,0,793.02,0,0,0,0,1,0,0,0,0,1,0,0,0,73.444,78.333,1.1111,43.889,13.111,77.808,89.551,4.1154,45.231,14.795,0.87654,192,0,146.9,10.749,-0.3457,-0.93834,2.7122,5.5182,23.9,1,0,0,0,0,0,0,0.75309,0.77419,1,0,0,0,0,1,1045.2,615.71
presence,1.0,4938773872,66.257046,26.035752,456678.4117205552,7348895.294345077,26838,24940,2024,2023,1.0,89,72,1,0,73,14,41,134,19,0.97297,0.013514,0,493.78,0,0,0,1,0,0,0,0,0,1,0,0,0,85.667,70.333,1.6667,41.111,13.556,85.321,55.84,1.4198,32.148,10.432,0.88889,84,0,153.9,1.7988,-0.09951,-0.99504,-0.16734,0.19615,1.6,1,0,0,0,0,0,0,1,0.98543,0,1,0,0,0,0.010406,932.41,636.18
presence,1.0,4939429523,61.178607,28.365914,573457.7098071934,6783448.867223343,62178,32239,2024,2023,1.0,102,247,13,0,259,27,58,236,27,0.95,0.05,0,471.57,0,0,0,1,0,0,0,0,0,1,0,0,0,70.5,137.12,17.375,53,19.5,61.8,104.95,38.364,59.055,19.909,0.20988,263,0,77.4,3.6688,0.68232,0.73105,-0.33266,-2.6456,4.1,1,0,0,0,0,0,0,0.7284,0.65557,1,0,0,0,0,0.5744,1400.7,604.28
presence,1.0,4979541595,66.53989,25.50549,433611.475212796,7380884.160914955,24838,23498,2024,2023,1.0,94,88,35,4,127,20,52,156,21,0.6875,0.27344,0.03125,577.43,0,0,0,1,0,0,0,0,0,1,0,0,0,80.222,112.11,14.556,50.889,18.667,78.815,75.654,8.1852,42.605,13.383,0.54321,138,0,128.7,2.001,0.98387,-0.17888,-0.55511,-2.3791,4.5,0,1,0,0,0,0,0,0,0.25078,0,0,0,0,1,0.092612,954.81,606.34
presence,1.0,4176990070,62.796909,29.564842,630792.0733318817,6965566.004955505,50796,35822,2023,2023,31.0,69,94,4,0,97,19,62,197,22,0.95918,0.040816,0,499.83,0,0,0,1,0,0,0,0,0,1,0,0,0,49.111,97.778,12.222,54.222,16.556,47.016,66.393,15.574,40.033,12.082,0.55556,207,0,90.4,1.8253,0.19611,0.98058,0.46123,2.0016,3,1,0,0,0,0,0,0,0.7284,0.36108,1,0,0,0,0,0.28616,1254.2,661.35
presence,1.0,4403547350,61.312901,23.417445,308210.8489248925,6802903.0536108725,60962,15661,2023,2023,100.0,50,78,33,17,128,18,59,172,21,0.60465,0.25581,0.13178,519.69,0,0,1,0,0,0,0,0,0,1,0,0,0,52.889,59.444,80.667,64.889,20.111,46.605,48.309,63.667,60.654,17.938,0.34568,128,2,142.9,13.949,0.93106,0.36487,1.4102,6.7659,19.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1319.3,616.34
presence,0.3,4403473055,65.147295,25.286319,419641.52745906054,7225961.03446904,34521,22625,2023,2023,1000.0,62,64.667,16.667,10,91.667,15,49.333,121.67,15,0.80829,0.10482,0.06784,863.07,0,0,0.33333,0,0.66667,0,0,0,0,1,0,0,0,66.704,74.444,14.593,54.037,16.889,65.868,76.767,12.406,51.69,16.315,0.72016,160,0,13.667,1.5902,3.51e-08,0.92962,0.14082,0.23014,1.9,1,0,0,0,0,0,0,0.84362,0.85224,0.66667,0,0,0,0.33333,0.66667,1117.7,516.72
presence,0.3,4406204622,66.500553,25.758758,444773.5922531407,7376253.542542941,25128,24196,2023,2023,1000.0,119.67,109.67,1.3333,1.6667,111.67,16.333,44.333,140,20.667,0.97309,0.011913,0.014997,486.76,0,0,0.66667,0.33333,0,0,0,0,0,1,0,0,0,108.22,108.33,0.92593,44.296,16.074,97.249,90.367,1.9059,39.377,13.915,0.42798,147.33,0,160.6,5.924,-0.14636,-0.62223,0.15646,5.1667,14.367,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,974.84,603.45
presence,1.0,4412461436,59.992641,24.449354,357722.766651063,6653334.720309828,70310,18755,2023,2023,100.0,93,101,30,6,139,13,42,113,17,0.72143,0.21429,0.042857,572.74,0,0,0,0,0,0,1,0,0,1,0,0,0,102.11,85.333,17.667,37.778,12.444,86.679,83.513,45.256,50.103,16.705,0.60494,204,0,21.5,9.171,-0.96782,0.25163,3.5653,11.428,14.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1444.9,611.9
