source,id,date,year,month,day,lat,lon,unc_m,basis,dataset,locality
gbif,5281583333,1981-09-12,1981,9,12,61.840544,23.546699,50000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,Pinsiönkangas
gbif,3713205145,1980-09-10,1980,9,10,62.772265,28.455378,50000.0,PRESERVED_SPECIMEN,KUO Fungal collections,near by the pond Iso-Kankainen
gbif,3713365502,1979-08-30,1979,8,30,66.373564,29.287597,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)","Oulanka national park, Haaralammenkangas"
gbif,3713365518,1979-08-30,1979,8,30,66.373234,29.30993,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",Oulanka national park | NW of the biological station
gbif,3713365535,1979-08-04,1979,8,4,66.363941,29.33143,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)","Oulanka national park, Kiutaköngäs | SE of Kiutaköngäs falls"
gbif,3713384176,1979-08-30,1979,8,30,60.535398,22.260258,25000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Maaria, Jäkärlä"
gbif,3713385892,1979-08-25,1979,8,25,60.553493,21.574338,25000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,Leikluoto
gbif,4023266603,1979-08-24,1979,8,24,66.359294,29.342174,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Oulanka National Park, between Biological Station and Rytilampi Pond, Ampumavaar"
gbif,3713383429,1977-08-30,1977,8,30,60.621152,22.279414,25000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Vahto, Valpperi"
gbif,3713384158,1977-08-31,1977,8,31,60.731685,22.092813,50000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Tursunperä, Mahlionkallio"
gbif,3713384164,1977-08-29,1977,8,29,60.535398,22.260258,25000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Nättinummi, Riihikallio"
gbif,4023266643,1977-08-30,1977,8,30,66.372901,29.332263,1000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Oulanka, biol. aseman ja Kiutakökään välillä."
gbif,3713205081,1974-08-20,1974,8,20,63.101848,27.643515,50000.0,PRESERVED_SPECIMEN,KUO Fungal collections,Vuorela
gbif,3713365407,1974-08-19,1974,8,19,64.806408,25.723087,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)","Ojakylä, Isokangas | Likapuronkangas"
gbif,3713365432,1974-08-26,1974,8,26,64.806408,25.723087,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)","Ojakylä, Isokangas | area no II Likapuro"
gbif,3713365514,1974-08-06,1974,8,6,64.806408,25.723087,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)","Ojakylä, Isokangas | experimental plot"
gbif,3713368818,1974-08-18,1974,8,18,65.573512,28.71865,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",Kylmäluomanharju
gbif,3713368858,1974-08-22,1974,8,22,66.373234,29.30993,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",Oulanka national park | near the biological station
gbif,3713373524,1974-08-01,1974,8,,64.736903,26.02028,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)","Kylmälä, Karho-ojankangas | W of the road, S of the sandpits"
gbif,4023266614,1974-08-22,1974,8,22,66.373234,29.30993,1000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Oulanka National Park, near theBiological Station."
gbif,4023266648,1974-08-17,1974,8,17,66.359294,29.342174,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,Oulankajoki.
gbif,4023266673,1974-08-17,1974,8,17,66.359294,29.342174,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,Oulankajoki.
gbif,4023266864,1974-08-06,1974,8,6,64.806408,25.723087,1000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Ojakylä, Isokangas."
gbif,4023284218,1974-08-10,1974,8,10,60.724879,27.271741,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Vehkalahti. Kannusjärvi, Palaneenkangas."
gbif,4023284383,1974-09-03,1974,9,3,63.056492,27.688672,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,Harjamäki.
gbif,3713384152,1972-08-22,1972,8,22,60.488827,22.158395,10000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,Vaisaari
gbif,4023284236,1972-08-11,1972,8,11,60.747171,27.336106,1000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Vehkalahti. Pyhältö, mellan Taipaleenjoki och Harjula."
gbif,4023284253,1972-08-11,1972,8,11,60.747171,27.336106,1000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Vehkalahti. Pyhältö, mellan Taipaleenjoki och Harjula."
gbif,3713205033,1972-09-17,1972,9,17,61.230455,25.56353,50000.0,PRESERVED_SPECIMEN,KUO Fungal collections,Vääksy
gbif,3713379892,1972-09-24,1972,9,24,61.825829,26.189341,50000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kälö, Vallaspelto"
gbif,4023269100,1972-10-08,1972,10,8,60.017573,22.422213,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Dragsfjärd, Dalsbruk, på östra stranden av Dragsfjärden."
gbif,3713365094,1970-08-16,1970,8,16,65.011677,24.557119,10000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",between Kirkonkylä and Virpiniemi
gbif,3713368673,1970-08-23,1970,8,23,69.761433,27.008472,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",Kutuniemi E
gbif,3713368766,1970-08-15,1970,8,15,65.136826,25.558059,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)","Hämeenjärven ja Nurmesjärven välinen tie, lähellä maantietä"
gbif,3713368771,1970-08-15,1970,8,15,65.136826,25.558059,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",Hämeenjärvi | W-puoli
gbif,3713368776,1970-08-16,1970,8,16,65.043558,24.586067,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",Marjaniemi | NE-puoli
gbif,3713368787,1970-08-01,1970,8,,64.604698,26.484628,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",Rokua
gbif,3713383987,1970-08-21,1970,8,21,60.411837,21.80685,50000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,Luonnonmaa
gbif,3713383992,1970-08-28,1970,8,28,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Kutuniemi"
gbif,4023283781,1970-08-16,1970,8,16,59.917424,23.393656,1000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Ekenäs lk. Öns Odensö sydöstra del, mo vid lilla berget."
gbif,4023284231,1970-08-22,1970,8,22,60.738196,27.336012,1000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Vehkalahti Pyhältö, Ämmänmäki"
gbif,4023284239,1970-08-25,1970,8,25,60.738196,27.336012,1000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Vehkalahti Pyhältö, Ämmänmäki"
gbif,3713205010,1970-09-26,1970,9,26,61.230455,25.56353,50000.0,PRESERVED_SPECIMEN,KUO Fungal collections,Vääksyn harju
gbif,3713205051,1970-09-26,1970,9,26,61.230455,25.56353,50000.0,PRESERVED_SPECIMEN,KUO Fungal collections,Vääksyn harju
gbif,3713205105,1970-09-15,1970,9,15,63.101848,27.643515,50000.0,PRESERVED_SPECIMEN,KUO Fungal collections,Harjamäki
gbif,3713368706,1970-09-12,1970,9,12,61.52244,23.622731,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",Lamminpää
gbif,3713379924,1970-09-05,1970,9,5,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Tsharsjoki, Tsarsjoki, Čársejohka, Jomppala"
gbif,4023266611,1970-09-01,1970,9,1,66.359294,29.342174,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Oulangan kansallispuisto, 500 m Kiutankökäästä etelään."
gbif,3713368784,1967-08-27,1967,8,27,65.220102,25.852802,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)","Viitajärvi, Rönkölänkangas"
gbif,3713368755,1967-09-09,1967,9,9,65.211912,25.960004,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)","Loukkojärvi, Satulakangas | tien N-laidassa n. 100 m SW-kulman taimimänniköstä E"
gbif,3713368759,1967-09-05,1967,9,5,64.983987,25.523922,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",Hiirosenkangas | vanhainkodin E-puolella
gbif,3713368838,1967-09-03,1967,9,3,64.928422,25.357813,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",lentokentän S-puolella
gbif,3713384171,1967-09-10,1967,9,10,69.063377,27.11982,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,Kaamanen
gbif,4023269102,1967-10-09,1967,10,9,62.563673,24.209757,50000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Kivijärvi, Arpaisenjärvi-Koirajärvi."
gbif,3713380870,1966-08-31,1966,8,31,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Kevojärvi"
gbif,3713368748,1966-09-11,1966,9,11,65.145792,25.557573,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)","Kello E, Hämeenjärvi"
gbif,3713368821,1966-09-02,1966,9,2,66.363941,29.33143,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)",Kiutaköngäs | biologisen aseman luona
gbif,3713378359,1963-09-16,1963,9,16,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Kevojärvi"
gbif,3713383430,1963-09-18,1963,9,18,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Kevonniemi"
gbif,3713368640,1961-08-29,1961,8,29,69.761433,26.982581,1000.0,PRESERVED_SPECIMEN,"Fungal collection of the Botanical Museum, University of Oulu (OULU)","Kevonsuusta noin 0,5 km N"
gbif,3713383933,1961-08-29,1961,8,29,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Kevonsuu"
gbif,4023284260,1961-09-09,1961,9,9,59.928587,23.387347,100000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,Tammisaari
gbif,3713378379,1960-08-26,1960,8,26,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Raessijoki, Rassijoki, Rássejohka"
gbif,3713383458,1960-08-01,1960,8,,66.666254,26.031709,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,Ounasvaara
gbif,3713383943,1960-08-22,1960,8,22,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Tsieskula, Cieskul"
gbif,3713383981,1960-08-22,1960,8,22,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Tsieskula, Cieskul"
gbif,3713383995,1960-08-23,1960,8,23,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Kevonniemi"
gbif,4023266732,1960-08-20,1960,8,20,69.783799,27.125116,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,Kevojärven itäranta.
gbif,4023284214,1960-08-19,1960,8,19,61.164622,25.417611,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Vääksy, Vääksynharju."
gbif,3713378354,1959-08-31,1959,8,31,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Kevojärvi, Kevonniemi"
gbif,3713379240,1959-08-30,1959,8,30,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Kevojärvi, Kevonniemi"
gbif,3713383926,1959-08-31,1959,8,31,69.619932,27.018992,100000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Kevo, Kevojärvi"
gbif,3713383439,1959-09-01,1959,9,1,60.788924,22.551291,50000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Yläne, Elijärvi, Vanhakartano, Kärrikallio, Lahti"
gbif,3713383967,1957-09-08,1957,9,8,60.608421,22.096124,50000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Masku, Kaukainen, Myllytorppa"
gbif,3713383977,1957-09-01,1957,9,1,60.788924,22.551291,50000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Elijärvi, Kärrikallio, Lahti"
gbif,3713380024,1953-08-23,1953,8,23,60.788924,22.551291,50000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Yläne, Elijärvi, Järvelä, Teinilä"
gbif,3713383940,1952-07-31,1952,7,31,60.788924,22.551291,50000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Yläne, Järvelä, Korpinnokka"
gbif,3713378432,1952-09-15,1952,9,15,61.090393,22.053864,25000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Honkilahti, Komoinen, Lellainen, Koskeljärvi"
gbif,4023284255,1945-09-23,1945,9,23,60.355805,25.013023,1000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,Tusby. Mätäkivenmäki.
gbif,4023283793,1945-10-14,1945,10,14,60.267487,25.461135,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,Kitö
gbif,4023283803,1943-09-03,1943,9,3,60.349795,24.913737,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Tusby. Klemetskog, Hästensbergens E-sluttning."
gbif,4023283789,1942-08-28,1942,8,28,60.32,25.65,,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Borgå socken, Vessö, Köttboda."
gbif,4023283805,1942-09-08,1942,9,8,60.266776,25.831589,1000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Borgå socken, Köttboda."
gbif,4023283817,1937-09-26,1937,9,26,60.267487,25.461135,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,Kitö
gbif,4023284258,1937-09-26,1937,9,26,60.267487,25.461135,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,Kitö
gbif,3713379901,1936-08-18,1936,8,18,61.914253,22.334903,50000.0,PRESERVED_SPECIMEN,TUR Fungus collections of the University of Turku,"Venesjärvi, Susikorpi"
gbif,4023284216,1936-08-18,1936,8,18,61.806399,22.157667,10000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Venesjärvi, Susikorpi."
gbif,4023283776,1932-09-01,1932,9,,60.32,25.65,,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,Vessö
gbif,4023283825,1905-06-07,1905,6,7,60.221662,25.314552,25000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,"Savijärvi, near the lake Savijärvi, ca. 2 km W of the road Kulloo - Hyrylä, ca. "
gbif,4023284199,1866-08-01,1866,8,,60.816478,23.771034,1000.0,PRESERVED_SPECIMEN,Agaricales Fennoscandiae orientalis,Mustiala
gbif,773223808,,,,,62.73918,28.95614,,PRESERVED_SPECIMEN,Fungi collection of the University of Eastern Finland,
gbif,773223809,,,,,62.82838,29.55088,,PRESERVED_SPECIMEN,Fungi collection of the University of Eastern Finland,
gbif,2249241970,,,,,65.01579,25.657385,,MATERIAL_SAMPLE,,
gbif,2249249578,,,,,65.01579,25.657385,,MATERIAL_SAMPLE,,
gbif,5235907046,,,,,63.615127,29.067622,100000.0,MATERIAL_SAMPLE,HAMBI Fungal Biotechnology Culture Collection (FBCC),
