id,lat,lon,year,species,dataset,dataset_key,license
4599699421,62.198087,30.292349,2023,Typhula juncea,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599699422,62.197856,30.293067,2023,,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599699423,62.197661,30.293435,2023,,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599699424,62.197696,30.293704,2023,Hygrophorus camarophyllus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599699425,62.197281,30.295224,2023,,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599699449,62.201271,30.289202,2023,Craterellus lutescens,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599699450,62.200995,30.289335,2023,Albatrellus ovinus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599699451,62.200746,30.28982,2023,Aureonarius limonius,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599699452,62.200665,30.289764,2023,Tricholoma apium,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599699453,62.200533,30.289958,2023,Craterellus tubaeformis,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599699454,62.197296,30.29598,2023,Amanita porphyria,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599699455,62.197132,30.295882,2023,Lactarius badiosanguineus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700381,62.198682,30.287803,2023,Lactarius lilacinus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700416,62.199272,30.286589,2023,Mycena haematopus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700417,62.20035,30.288124,2023,Cortinarius violaceus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700418,62.200576,30.288276,2023,Hygrocybe conica,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700419,62.200582,30.288473,2023,Hygrophorus erubescens,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700458,62.197859,30.292142,2023,Russula chloroides,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700459,62.197871,30.292451,2023,Mycena epipterygia,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700460,62.197815,30.293017,2023,,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700461,62.197653,30.293526,2023,Pholiota lubrica,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700462,62.197274,30.295609,2023,Cortinarius rubellus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700486,62.201053,30.289082,2023,Lactarius auriolla,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700487,62.200635,30.289663,2023,Lyophyllum decastes,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700488,62.200532,30.29001,2023,Tricholoma virgatum,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700489,62.200361,30.290534,2023,,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700490,62.197408,30.296187,2023,Lactarius scrobiculatus,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599700491,62.197459,30.296436,2023,Russula aurea,The Atlas of Finnish Fungi,2bc4c2db-1dfa-419c-93ce-6602c5ae8c99,http://creativecommons.org/licenses/by/4.0/legalcode
4599946221,60.310487,22.266024,2023,Craterellus tubaeformis,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4600032168,60.232617,23.698755,2023,,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4600034459,60.439787,22.903673,2023,Hypholoma fasciculare,iNaturalist research-grade observations,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://creativecommons.org/licenses/by-nc/4.0/legalcode
4605992347,61.745499,25.185637,2023,Hydnum rufescens,"Notebook, general observations",df12ca07-f133-4550-ab3b-fde13f0e76ba,http://creativecommons.org/licenses/by/4.0/legalcode
