id,group,lat,lon,year,cycle,score_mlp
6489953418,presence,64.48055,19.13668,2026.0,2010,0.7063260674476624
6490504341,presence,61.99408,14.44537,2026.0,2010,0.9451720515886942
6500827305,presence,64.51315,20.7939,2026.0,2010,0.7851845820744833
6500946440,presence,60.17859,16.80015,2026.0,2010,0.6482455134391785
6501098348,presence,64.98791,17.70296,2026.0,2010,0.5924123326937357
6501140350,presence,61.66634,13.24234,2026.0,2010,0.9677149256070455
6501687314,presence,66.82944,22.02381,2026.0,2010,0.9561457633972168
6508254340,presence,64.38724,19.37584,2026.0,2010,0.7816145618756613
6508320319,presence,61.09343,14.47215,2026.0,2010,0.8977286616961161
6508576360,presence,65.67606,20.40283,2026.0,2010,0.9169109265009562
6508783339,presence,62.02539,14.34251,2026.0,2010,0.9461532433827718
6509026363,presence,59.74515,14.2907,2026.0,2010,0.09386885662873586
6509218398,presence,64.07466,19.99538,2026.0,2010,0.6277460157871246
6522836329,presence,65.97834,20.09095,2026.0,2010,0.9372537533442179
6522882436,presence,65.9773,20.09098,2026.0,2010,0.9305177330970764
6523387346,presence,65.9774,20.08911,2026.0,2010,0.9668226639429728
6523465419,presence,64.69972,18.61662,2026.0,2010,0.8798126379648844
6523583324,presence,65.97763,20.091,2026.0,2010,0.9512642423311869
6523716396,presence,65.97944,20.08969,2026.0,2010,0.9348192811012268
6523917400,presence,65.97996,20.08816,2026.0,2010,0.9298591415087382
6535626306,presence,65.96138,20.10239,2026.0,2010,0.8591442902882894
6536002376,presence,65.96154,20.10959,2026.0,2010,0.8445822993914286
6536728332,presence,65.67739,20.41,2026.0,2010,0.9658592740694681
6522845332,presence,61.77484,12.89601,2026.0,2010,0.9431875546773275
6522973429,presence,66.76564,20.15711,2026.0,2010,0.9569912354151408
5287358406,presence,57.11076,13.75348,2025.0,2010,0.10017649705211322
5294775052,presence,61.48494,16.85937,2025.0,2010,0.1491967737674713
5294843651,presence,59.61886,15.48098,2025.0,2010,0.1179770181576411
5294869806,presence,59.23941,17.53073,2025.0,2010,0.16392968346675238
5758955082,presence,66.48744,20.6559,2025.0,2010,0.7144875923792521
5759068856,presence,62.43377,13.43821,2025.0,2010,0.978247880935669
5759090251,presence,59.23394,17.54254,2025.0,2010,0.18414866427580515
5759094786,presence,61.10281,14.47105,2025.0,2010,0.9562836090723673
5759122957,presence,62.44803,13.16194,2025.0,2010,0.8357619841893514
5759155200,presence,59.23439,17.52972,2025.0,2010,0.03877723403275013
5759168248,presence,59.74367,14.28202,2025.0,2010,0.03335230300823847
5763221042,presence,61.48534,16.86021,2025.0,2010,0.19960077106952667
5763243897,presence,59.81701,17.59094,2025.0,2010,0.28610576192537945
5763255833,presence,59.81777,17.58022,2025.0,2010,0.12229234476884206
5763280627,presence,61.91497,12.67184,2025.0,2010,0.9532846411069235
5821867407,presence,67.1832,22.69302,2025.0,2010,0.6524773637453715
5821876398,presence,63.8954,18.91692,2025.0,2010,0.7094988624254862
5821876829,presence,61.58156,14.30008,2025.0,2010,0.8386543989181519
5821895839,presence,61.93304,12.65017,2025.0,2010,0.9745171070098877
5821900578,presence,61.93332,12.65009,2025.0,2010,0.9796343644460043
5821901939,presence,61.93228,12.6507,2025.0,2010,0.9646671215693156
5821902716,presence,60.08258,12.9233,2025.0,2010,0.13600771874189377
5821937723,presence,61.91455,12.67685,2025.0,2010,0.9636911551157633
5821939284,presence,67.1297,20.92364,2025.0,2010,0.9570804039637247
5821945513,presence,65.00986,19.6967,2025.0,2010,0.8355948527654012
5821955940,presence,61.9134,12.67482,2025.0,2010,0.9735163450241089
5821968622,presence,61.93082,14.15246,2025.0,2010,0.9421249429384867
5821971475,presence,67.12969,20.92395,2025.0,2010,0.9352593620618185
5821979449,presence,63.88659,17.19273,2025.0,2010,0.8914978504180908
5821982847,presence,62.78275,16.09303,2025.0,2010,0.7170703212420145
5821989408,presence,67.12892,20.92273,2025.0,2010,0.9772794644037882
5821994754,presence,64.13487,17.49749,2025.0,2010,0.8175992568333944
5822001485,presence,67.12947,20.92155,2025.0,2010,0.9645912249883016
5822015742,presence,61.93266,12.65055,2025.0,2010,0.967553993066152
5829587452,presence,59.15621,18.2233,2025.0,2010,0.36378565430641174
5829587994,presence,59.15396,18.21852,2025.0,2010,0.8253864049911499
5829642714,presence,57.10682,13.75762,2025.0,2010,0.11485701302687328
5829669062,presence,59.1631,18.28922,2025.0,2010,0.7358830173810323
5829679515,presence,64.13084,20.73243,2025.0,2010,0.8102603952089945
5829679790,presence,64.31459,20.77228,2025.0,2010,0.9267913699150085
5829712093,presence,59.1665,18.28313,2025.0,2010,0.8379116058349609
5836046312,presence,59.158,18.3174,2025.0,2010,0.4730568428834279
